s,r0_theory_hz,r0_sim_hz
0.13615384615384613,0.016913829603411777,0.0
0.17145299145299142,1.1531701713115194,0.9833333333333333
0.20675213675213672,7.415200384213124,6.708333333333334
0.242051282051282,17.657668644505694,16.033333333333335
0.2773504273504273,28.861555005757946,27.191666666666666
0.3126495726495726,40.10557851591729,37.79166666666667
0.3479487179487179,51.24043709396664,49.25833333333333
0.3832478632478632,62.268853129916906,59.666666666666664
0.4185470085470085,73.21430777329189,69.75
0.4538461538461538,84.09762053711408,80.41666666666666
