s,Re_Hz,Ri_Hz,chi_Re0,chi_Ri0,pred_C12_per_ms,sim_C12_per_ms
0.28,1680.0000000000002,560.0,0.012743008805747545,-0.006615480577935053,2.4508166635140112e-06,-3.8730468749999947e-05
0.31000000000000005,1860.0000000000002,620.0000000000001,0.027003915791194214,-0.015398777694732007,1.4701585978490113e-05,-4.179687500000011e-05
0.34,2040.0,680.0,0.037599135876267196,-0.022729616694974388,3.513121230683117e-05,0.00018603515625000033
0.37,2219.9999999999995,740.0,0.0425171210298227,-0.026641414863873506,5.2522608960227496e-05,0.00026056640624999995
0.4,2400.0000000000005,800.0,0.04401088514749265,-0.028162342295145124,6.344940188391361e-05,0.0005644335937500002
0.43000000000000005,2580.0,860.0000000000001,0.0440485961484088,-0.028508655702511113,6.989593669693148e-05,0.0002526855468749998
0.46,2760.0000000000005,920.0,0.043590222953362213,-0.028365417456973283,7.402291549076955e-05,0.00020493164062500006
