s,Re_Hz,f_Hz,theory_mag_Hz,sim_mag_Hz
0.2414102564102564,1448.4615384615386,5.0,0.14399389934491363,0.06470135482581092
0.2414102564102564,1448.4615384615386,10.0,0.12328852673182243,0.08512079786591151
0.2414102564102564,1448.4615384615386,50.0,0.04946406336708952,0.025856428281878806
0.2414102564102564,1448.4615384615386,100.0,0.031189909022413566,0.053908509517559815
0.2414102564102564,1448.4615384615386,200.0,0.020836168211438674,0.07020307252978618
0.2414102564102564,1448.4615384615386,400.0,0.014886623453579382,0.0526303194529119
0.34487179487179487,2069.230769230769,5.0,3.911255858936061,3.2283790774861876
0.34487179487179487,2069.230769230769,10.0,3.9824401138520784,3.5629850492111608
0.34487179487179487,2069.230769230769,50.0,2.5591586313146024,2.2415901569332584
0.34487179487179487,2069.230769230769,100.0,1.831727920583828,1.9592954631368307
0.34487179487179487,2069.230769230769,200.0,1.3385023589519096,0.9251377792107558
0.34487179487179487,2069.230769230769,400.0,1.0152671796460029,0.9836802257134889
0.44833333333333336,2690.0000000000005,5.0,4.410221560999496,4.4232070326478565
0.44833333333333336,2690.0000000000005,10.0,4.523364438808311,4.189795990439063
0.44833333333333336,2690.0000000000005,50.0,5.2285461278253065,6.028583553719681
0.44833333333333336,2690.0000000000005,100.0,3.8089715003027522,2.019266929922854
0.44833333333333336,2690.0000000000005,200.0,2.937218292085098,2.2800651718922476
0.44833333333333336,2690.0000000000005,400.0,2.3065897692326267,3.110868779727993
