Re_Hz,chi_fd,chi_two,chi_resp_f1Hz
1200.0,2.4186811764744144e-05,1.84925368651386e-05,1.8428197519527983e-05
1353.8461538461538,0.00045178433617000085,0.0003969239783978405,0.000395618201512172
1507.6923076923076,0.003253380500749651,0.003080918230710858,0.0030722251500514305
1661.5384615384614,0.011425779074911898,0.011238592676363271,0.01121759222406086
1815.3846153846152,0.02358541152756027,0.023535834784805795,0.023519281548858278
1969.230769230769,0.034195661912162924,0.03421710698450411,0.03422162133778127
2123.076923076923,0.040478486519142216,0.04047941090325191,0.040499307828098054
2276.923076923077,0.04325211473988559,0.04322006584410077,0.043243853188363705
2430.7692307692305,0.044087486581385546,0.04403803089635384,0.04405948107599664
2584.6153846153848,0.044042559497778286,0.04398840485130788,0.0440057952672331
2738.461538461538,0.043656360898518716,0.043603728354061025,0.04361727076029425
2892.3076923076924,0.04317203359593909,0.04312321472727189,0.04313364599721044
3046.153846153846,0.04269070588410154,0.042646180256405104,0.04265423730430415
3200.0,0.04224995543828998,0.042209488215457974,0.042215768115631526
